number,issue_rel,rel_time,rel_author,rel_comment,type
3316,matplotlib/matplotlib#3316,2014-08-17 22:33:00,ibell,7,within
3316,matplotlib/matplotlib#3316,2014-08-17 22:40:00,ibell,10,within
3316,matplotlib/matplotlib#3316,2014-08-17 22:59:08,ibell,12,within
3316,matplotlib/matplotlib#3316,2014-08-17 23:14:17,ibell,14,within
3316,matplotlib/matplotlib#3316,2015-06-30 13:18:00,WeatherGod,19,within
3316,matplotlib/matplotlib#24,2015-07-01 02:25:03,tacaswell,24,within
3316,matplotlib/matplotlib#19,2015-07-01 02:25:03,tacaswell,24,within
3316,matplotlib/matplotlib#2,2015-07-01 02:25:03,tacaswell,24,within
3316,matplotlib/matplotlib#8,2015-07-01 02:25:03,tacaswell,24,within
3316,matplotlib/matplotlib#9,2015-07-01 02:25:03,tacaswell,24,within
3316,matplotlib/matplotlib#22,2015-07-01 02:25:03,tacaswell,24,within
3316,matplotlib/matplotlib#21,2015-07-01 02:25:03,tacaswell,24,within
3316,matplotlib/matplotlib#18,2015-07-01 02:25:03,tacaswell,24,within
3316,matplotlib/matplotlib#14,2015-07-01 02:25:03,tacaswell,24,within
3316,matplotlib/matplotlib#7,2015-07-01 02:25:03,tacaswell,24,within
3316,matplotlib/matplotlib#12,2015-07-01 02:25:03,tacaswell,24,within
3316,matplotlib/matplotlib#10,2015-07-01 02:25:03,tacaswell,24,within
3316,matplotlib/matplotlib#20,2015-07-01 02:25:03,tacaswell,24,within
3316,matplotlib/matplotlib#16,2015-07-01 02:25:03,tacaswell,24,within
3316,matplotlib/matplotlib#3,2015-07-01 02:25:03,tacaswell,24,within
3316,matplotlib/matplotlib#4,2015-07-01 02:25:03,tacaswell,24,within
3316,matplotlib/matplotlib#1,2015-07-01 02:25:03,tacaswell,24,within
3316,matplotlib/matplotlib#6,2015-07-01 02:25:03,tacaswell,24,within
3316,matplotlib/matplotlib#4572,2015-07-01 02:25:03,tacaswell,24,within
3316,matplotlib/matplotlib#5,2015-07-01 02:25:03,tacaswell,24,within
3316,matplotlib/matplotlib#13,2015-07-01 02:25:03,tacaswell,24,within
3316,matplotlib/matplotlib#23,2015-07-01 02:25:03,tacaswell,24,within
