number,issue_rel,rel_time,rel_author,rel_comment,type
6109,zeromq/pyzmq#613,2015-03-02 02:20:27,khadiwala,9,cross
6014,ipython/ipython#5991,2014-06-18 22:14:52,takluyver,0,within
5950,ipython/ipython#5961,2014-06-09 18:40:50,minrk,4,within
5812,ipython/ipython#5796,2014-05-07 22:37:34,takluyver,0,within
5812,ipython/ipython#5754,2014-05-07 22:37:34,takluyver,0,within
5755,ipython/ipython#5446,2014-05-08 00:10:45,takluyver,1,within
5755,ipython/ipython#5446,2014-05-12 03:28:06,jdfreder,3,within
5755,ipython/ipython#5920,2014-11-14 05:13:02,minrk,4,within
5743,ipython/ipython#5617,2014-06-02 22:06:04,jdfreder,1,within
5706,ipython/ipython#5708,2014-04-23 18:45:29,minrk,1,within
5706,ipython/ipython#5708,2014-04-23 18:47:05,takluyver,2,within
5676,ipython/ipython#5677,2014-04-19 19:09:37,takluyver,1,within
5581,ipython/ipython#5579,2014-04-10 16:32:50,takluyver,0,within
5527,ipython/ipython#5518,2014-04-04 23:55:32,jdfreder,0,within
5499,ipython/ipython#5493,2014-05-08 17:54:22,minrk,1,within
5493,ipython/ipython#5499,2014-04-02 18:03:54,takluyver,1,within
5493,ipython/ipython#5499,2014-04-03 23:30:25,jdavidheiser,2,within
5364,ipython/ipython#3549,2014-03-26 22:32:49,jdfreder,5,within
5364,ipython/ipython#5446,2014-04-30 02:15:36,drevicko,12,within
5266,ipython/ipython#5263,2014-03-03 21:59:03,jdfreder,0,within
5266,ipython/ipython#5263,2014-03-03 22:59:16,minrk,2,within
5264,ipython/ipython#5264,2014-03-03 22:49:08,ellisonbg,4,within
5264,ipython/ipython#5264,2014-03-03 22:55:29,ellisonbg,6,within
5264,ipython/ipython#5267,2014-03-03 23:05:01,ellisonbg,8,within
5264,ipython/ipython#5264,2014-03-04 00:51:27,davclark,11,within
5264,ipython/ipython#5264,2014-03-04 02:43:16,davclark,13,within
5264,ipython/ipython#5264,2014-03-04 03:34:49,davclark,15,within
5264,ipython/ipython#5264,2014-03-07 18:18:13,davclark,22,within
5263,ipython/ipython#5201,2014-03-03 22:21:39,ahmadia,13,within
5251,ipython/ipython#5253,2014-03-03 04:49:00,minrk,4,within
5251,ipython/ipython#5253,2014-03-03 18:44:30,ellisonbg,5,within
5251,ipython/ipython#5253,2014-03-03 22:52:10,minrk,7,within
5251,ipython/ipython#5253,2014-03-07 19:15:27,minrk,9,within
5227,ipython/ipython#5229,2014-02-26 19:11:48,minrk,1,within
5192,ipython/ipython#5446,2014-04-30 02:03:59,drevicko,5,within
5192,ipython/ipython#5446,2014-04-30 04:04:50,jdfreder,6,within
5149,ipython/ipython#5146,2014-02-18 22:59:12,jdfreder,0,within
5141,ipython/ipython#5147,2014-02-18 22:10:51,minrk,1,within
5135,marijnh/CodeMirror#2410,2014-03-26 19:34:07,jdfreder,1,cross
5120,ipython/ipython#3549,2014-02-13 18:06:20,juhasch,0,within
5113,ipython/ipython#5114,2014-02-13 02:21:14,minrk,1,within
5106,ipython/ipython#5368,2014-03-25 00:22:13,jdfreder,2,within
5094,ipython/ipython#4999,2014-02-11 21:38:41,juhasch,3,within
5084,ipython/nbviewer#211,2014-03-17 17:59:51,jdfreder,5,cross
5084,ipython/ipython#5232,2014-03-17 17:59:51,jdfreder,5,within
5051,ipython/ipython#4986,2014-02-06 18:24:34,jdfreder,0,within
5051,ipython/ipython#5050,2014-02-06 18:24:34,jdfreder,0,within
5051,ipython/ipython#3552,2014-02-06 20:35:26,takluyver,2,within
5051,ipython/ipython#5035,2014-02-06 20:35:26,takluyver,2,within
5051,ipython/ipython#3552,2014-02-06 22:17:16,jdfreder,3,within
5051,ipython/ipython#3552,2014-02-07 00:22:33,jdfreder,6,within
5051,ipython/ipython#5035,2014-02-07 22:11:51,takluyver,9,within
5051,ipython/ipython#3552,2014-02-07 22:19:03,minrk,10,within
5051,ipython/ipython#5069,2014-02-08 04:11:40,minrk,15,within
5050,ipython/ipython#5035,2014-02-06 18:10:45,takluyver,2,within
5050,ipython/ipython#5120,2014-03-05 09:55:33,juhasch,8,within
5020,ipython/ipython#4374,2014-02-04 05:35:16,jasongrout,0,within
5013,ipython/ipython#4976,2014-02-03 23:52:02,jdfreder,0,within
5009,ipython/ipython#5015,2014-02-04 18:19:28,Carreau,7,within
4999,ipython/ipython#5146,2014-02-18 22:59:51,jdfreder,9,within
4997,ipython/ipython#5077,2014-02-09 07:07:39,minrk,6,within
4997,ipython/ipython#5077,2014-02-09 07:56:48,jabooth,7,within
4990,pydata/pandas#6225,2014-02-02 05:53:02,y-p,0,cross
4990,ipython/ipython#4745,2014-02-02 05:53:02,y-p,0,within
4988,marijnh/CodeMirror#2228,2014-02-06 19:43:30,Carreau,8,cross
4988,ipython/ipython#5297,2014-03-12 20:37:35,jdfreder,12,within
4988,ipython/ipython#6031,2014-06-22 13:36:57,Carreau,14,within
4986,ipython/ipython#5035,2014-02-05 20:06:20,jdfreder,1,within
4951,ipython/ipython#4929,2014-01-30 19:38:43,jdfreder,2,within
4950,ipython/ipython#4871,2014-01-29 23:54:45,ellisonbg,0,within
4950,ipython/ipython#4825,2014-01-29 23:54:45,ellisonbg,0,within
4948,ipython/nbconvert#131,2014-01-29 23:07:05,jdfreder,0,cross
4947,ipython/nbconvert#123,2014-01-29 23:05:13,jdfreder,0,cross
4946,ipython/nbconvert#118,2014-01-29 23:02:15,jdfreder,0,cross
4946,jgm/pandoc#469,2014-03-17 23:19:04,jdfreder,7,cross
4946,ipython/ipython#5380,2014-03-19 01:15:13,jdfreder,8,within
4945,ipython/nbconvert#93,2014-01-29 22:58:37,jdfreder,0,cross
4944,ipython/nbconvert#72,2014-01-29 22:56:21,jdfreder,0,cross
4941,ipython/nbconvert#185,2014-01-29 22:47:54,jdfreder,0,cross
4941,ipython/ipython#5387,2014-03-19 18:22:06,jdfreder,3,within
4913,ipython/nbconvert#148,2014-01-29 00:37:21,jdfreder,0,cross
4902,ipython/ipython#5279,2014-03-17 17:51:41,jdfreder,9,within
4882,ipython/ipython#4890,2014-01-27 20:08:03,minrk,2,within
4860,ipython/ipython#4860,2014-01-30 17:08:38,ellisonbg,3,within
4860,ipython/ipython#4860,2014-01-31 17:12:33,ellisonbg,5,within
4860,ipython/ipython#4988,2014-02-09 19:03:19,Carreau,6,within
4841,ipython/ipython#4841,2014-01-21 14:25:02,Carreau,1,within
4839,ipython/ipython#4840,2014-03-05 01:44:26,minrk,2,within
4835,ipython/ipython#4858,2014-01-24 01:41:36,minrk,6,within
4830,ipython/ipython#6358,2014-09-04 22:40:14,thisch,2,within
4829,ipython/ipython#5252,2014-03-03 02:09:43,minrk,16,within
4809,ipython/ipython#4929,2014-01-29 19:48:33,ellisonbg,5,within
4791,ipython/ipython#4570,2014-01-13 16:15:10,y-p,0,within
4791,pydata/pandas#5925,2014-01-13 18:15:55,y-p,5,cross
4791,ipython/ipython#4803,2014-01-27 01:56:38,y-p,8,within
4777,ipython/ipython#4777,2014-01-09 23:13:10,ellisonbg,1,within
4777,ipython/ipython#4860,2014-01-24 19:37:53,minrk,3,within
4777,ipython/ipython#4860,2014-01-29 23:17:04,ellisonbg,4,within
4742,ipython/ipython#4742,2014-03-27 15:00:12,albertotb,8,within
4602,ipython/ipython#4609,2013-11-27 00:33:48,takluyver,4,within
4583,ipython/ipython#4582,2013-11-22 19:57:28,ivanov,0,within
4578,swcarpentry/bc#163,2013-11-22 16:49:37,ahmadia,0,cross
4578,ipython/ipython#4579,2013-11-22 18:30:03,jdfreder,2,within
4578,ipython/ipython#4581,2013-11-22 19:06:02,takluyver,4,within
4574,ipython/ipython#1,2013-11-21 20:44:56,thomasj02,0,within
4574,ipython/ipython#4575,2013-11-22 00:25:12,minrk,1,within
4397,ipython/ipython#4918,2014-01-29 04:38:55,ellisonbg,3,within
4392,ipython/ipython#1673,2013-12-13 21:18:42,garrison,1,within
4361,ipython/ipython#4372,2013-10-09 22:55:27,takluyver,3,within
4334,ipython/ipython#4336,2013-10-02 23:30:12,minrk,3,within
