u_issue,u_reporter,u_author,u_state,u_nfiles,u_total,u_nadd,u_ndel,d_issue,d_reporter,d_author,d_state,d_nfiles,d_total,d_nadd,d_ndel,ref_author
numpy/numpy#3484,justinvf,charris,closed,1,33,13,20,dask/dask#297,jcrist,jcrist,closed,6,269,207,62,jcrist
numpy/numpy#3491,jayvius,charris,closed,3,97,77,20,scipy/scipy#2890,cgohlke,pv,closed,2,6,0,6,ewmoore
numpy/numpy#3581,potyt,ahaldane,closed,7,204,132,72,PyTables/PyTables#271,potyt,,closed,,,,,potyt
numpy/numpy#3761,jayvius,charris,closed,2,28,21,7,scipy/scipy#2890,cgohlke,pv,closed,2,6,0,6,jayvius
numpy/numpy#3768,charris,juliantaylor,closed,3,19,16,3,scipy/scipy#2890,cgohlke,pv,closed,2,6,0,6,charris
numpy/numpy#3793,juliantaylor,charris,closed,2,85,48,37,scipy/scipy#2930,juliantaylor,,closed,,,,,juliantaylor
numpy/numpy#3796,charris,charris,closed,2,40,35,5,scipy/scipy#2890,cgohlke,pv,closed,2,6,0,6,charris
numpy/numpy#3871,pv,charris,closed,1,4,4,0,scipy/scipy#2894,galfan,rgommers,closed,4,71,40,31,pv
numpy/numpy#3897,rgommers,charris,closed,2,21,20,1,scipy/scipy#2981,kousu,,closed,,,,,rgommers
numpy/numpy#3907,mhvk,charris,closed,3,251,147,104,astropy/astropy#2701,astrofrog,,closed,,,,,mhvk
numpy/numpy#3985,jseabold,,closed,,,,,statsmodels/statsmodels#1069,jseabold,,closed,,,,,jseabold
numpy/numpy#4012,ankit-maverick,,closed,,,,,scikit-learn/scikit-learn#2560,agramfort,agramfort,closed,2,16,15,1,ankit-maverick
numpy/numpy#4160,mhvk,pv,closed,3,39,33,6,astropy/astropy#1274,astrofrog,,closed,,,,,mhvk
numpy/numpy#4225,pbrod,charris,closed,2,52,39,13,nengo/nengo#260,tcstewar,tcstewar,closed,1,5,4,1,tcstewar
numpy/numpy#4225,pbrod,charris,closed,2,52,39,13,scipy/scipy#3242,ev-br,,open,,,,,ev-br
numpy/numpy#4328,jreback,juliantaylor,closed,2,21,20,1,pydata/pandas#6410,jreback,,closed,,,,,jreback
numpy/numpy#4366,jaimefrio,,open,,,,,pydata/pandas#11189,jorisvandenbossche,jreback,closed,4,37,23,14,jorisvandenbossche
numpy/numpy#4463,abalkin,charris,closed,2,46,37,9,scipy/scipy#3554,bjodah,charris,closed,4,97,61,36,rgommers
numpy/numpy#4494,embray,juliantaylor,closed,1,1,1,0,astropy/astropy#1987,astrofrog,,closed,,,,,embray
numpy/numpy#4564,mhvk,,open,,,,,astropy/astropy#2251,mhvk,mdboom,closed,3,91,90,1,mhvk
numpy/numpy#4586,mhvk,charris,closed,4,169,151,18,astropy/astropy#3848,mhvk,,closed,,,,,mhvk
numpy/numpy#459,jseabold,njsmith,closed,2,13,12,1,pydata/pandas#1968,jseabold,,closed,,,,,jseabold
numpy/numpy#4602,cgohlke,charris,closed,1,2,1,1,scipy/scipy#3306,cgohlke,rgommers,closed,2,22,14,8,cgohlke
numpy/numpy#4627,rgommers,,closed,,,,,scipy/scipy#3554,bjodah,charris,closed,4,97,61,36,rgommers
numpy/numpy#4655,foogod,,closed,,,,,scipy/scipy#3596,foogod,pv,closed,1,26,22,4,foogod
numpy/numpy#4656,foogod,charris,closed,2,60,57,3,scipy/scipy#3596,foogod,pv,closed,1,26,22,4,foogod
numpy/numpy#4681,seberg,charris,closed,1,8,0,8,astropy/astropy#2960,astrofrog,,closed,,,,,mhvk
numpy/numpy#4709,mdboom,,open,,,,,astropy/astropy#2483,astrofrog,astrofrog,closed,3,34,33,1,mdboom
numpy/numpy#4753,mhvk,charris,closed,2,109,97,12,astropy/astropy#2583,mhvk,,open,,,,,mhvk
numpy/numpy#4778,taldcroft,charris,closed,2,22,18,4,astropy/astropy#2281,astrofrog,,closed,,,,,taldcroft
numpy/numpy#4782,juliantaylor,charris,closed,2,22,18,4,astropy/astropy#2281,astrofrog,,closed,,,,,taldcroft
numpy/numpy#4804,seberg,charris,closed,3,107,101,6,astropy/astropy#2693,charris,,closed,,,,,juliantaylor
numpy/numpy#4843,juliantaylor,charris,closed,2,17,17,0,astropy/astropy#2693,charris,,closed,,,,,juliantaylor
numpy/numpy#5082,rkern,charris,closed,2,14,12,2,enthought/chaco#213,rkern,mdickinson,closed,3,26,23,3,rkern
