ref_issue,number,ref_time,ref_author,ref_comment,itype,close_author,close_time,close,close_type,related_pr,#comment,#participants,part_names
pydata/xarray#368,3630,2015-06-01 08:01:07,shoyer,2,issue,,,,,[],4,2,"['shoyer', 'hainm']"
igraph/igraph#551,3613,,,,issue,,,,,[],7,1,['gaborcsardi']
igraph/igraph#544,3613,,,,issue,,,,,[],3,2,"['kalenedrael', 'gaborcsardi']"
numpy/numpy#4664,3608,,,,issue,charris,2014-05-04T12:59:53Z,#4667,close,"['#4665', '#4667']",14,4,"['charris', 'rgommers', 'rkern', 'jaraco']"
pypa/setuptools#199,3608,2014-05-04 12:25:22,bb-migration,5,issue,bb-migration,2016-03-29T14:15:49Z,,close,[],6,1,['bb-migration']
numpy/numpy#4656,3596,2014-05-07 05:23:00,foogod,20,pr,,,,,[],23,6,"['foogod', 'charris', 'juliantaylor', 'njsmith', 'seberg', 'rgommers']"
numpy/numpy#4655,3596,,,,issue,juliantaylor,2014-05-09T10:40:05Z,,close,[],2,3,"['foogod', 'juliantaylor', 'rgommers']"
cvxgrp/cvxpy#136,3580,2014-09-22 21:42:57,SteveDiamond,2,pr,,,,,[],4,3,"['argriffing', 'SteveDiamond', 'alexbrc']"
ContinuumIO/anaconda-issues#425,3568,2015-10-12 16:34:58,wholmgren,7,issue,,,,,['#479'],14,6,"['bryanwweber', 'wholmgren', 'msarahan', 'kbg', 'zym1010', 'ilanschnell']"
numpy/numpy#4627,3554,2014-04-19 18:58:05,rgommers,0,issue,charris,2014-06-25T00:14:51Z,,close,['#4463'],3,3,"['rgommers', 'juliantaylor', 'charris']"
numpy/numpy#4463,3554,,,,pr,,,,,['#4627'],13,3,"['abalkin', 'charris', 'rgommers']"
,,,,,,,,,,,,,
statsmodels/statsmodels#1548,3522,,,,issue,josef-pkt,2014-04-05T09:54:02Z,,close,[],3,2,"['jseabold', 'josef-pkt']"
statsmodels/statsmodels#1698,3476,2014-06-04 17:45:49,josef-pkt,65,pr,,,,,['#2252'],214,6,"['ChadFulton', 'coveralls', 'jseabold', 'josef-pkt', 'rgommers', 'bashtage']"
numpy/numpy#4515,3465,,,,pr,juliantaylor,2014-03-19T17:57:17Z,e67765b,merge,[],9,4,"['ogrisel', 'pv', 'rkern', 'juliantaylor']"
scikit-learn/scikit-learn#2969,3465,2014-03-18 11:40:23,larsmans,3,issue,,,,,[],4,3,"['ogrisel', 'larsmans', 'amueller']"
scikit-learn/scikit-learn#3235,3465,2014-06-03 10:32:08,larsmans,2,issue,larsmans,2014-06-03T10:51:01Z,,close,[],4,3,"['jseabold', 'kastnerkyle', 'larsmans']"
numpy/numpy#4145,3412,,,,issue,juliantaylor,2014-03-01T13:39:19Z,#4146,close,"['#4146', '#4419']",6,3,"['WarrenWeckesser', 'seberg', 'njsmith']"
scikit-learn/scikit-learn#2882,3386,2014-03-02 20:51:56,argriffing,16,pr,,,,,[],25,7,"['larsmans', 'ogrisel', 'vene', 'GaelVaroquaux', 'IssamLaradji', 'mblondel', 'argriffing']"
numpy/numpy#3283,3376,,,,issue,charris,2014-02-22T23:31:40Z,,close,[],5,3,"['0todd0000', 'charris', 'josef-pkt']"
numpy/numpy#5858,3354,,,,pr,,,,,"['#5851', '#2056']",4,2,"['jaimefrio', 'charris']"
numpy/numpy#2056,3354,,,,issue,jaimefrio,2015-05-12T10:53:09Z,,close,[],6,4,"['thouis', 'charris', 'josef-pkt', 'jaimefrio']"
numpy/numpy#2655,3330,,,,issue,numpy-gitbot,2012-10-19T22:34:45Z,,close,[],12,1,['numpy-gitbot']
numpy/numpy#4602,3306,2014-04-09 03:22:56,cgohlke,0,pr,charris,2014-04-09T14:12:53Z,f320935,merge,[],2,2,"['cgohlke', 'charris']"
rgommers/scipy#8,3289,,,,pr,rgommers,2014-02-16T17:15:47Z,5a2c60b,merge,[],2,2,"['juliantaylor', 'rgommers']"
Alexpux/MINGW-packages#211,3237,2014-09-19 13:00:20,tenko,10,pr,Alexpux,2014-09-17T19:24:50Z,aeb9283,merge,['#196'],13,3,"['tenko', 'mingwandroid', 'Alexpux']"
astropy/astropy#2816,3227,2014-08-04 10:00:05,mcara,0,pr,,,,,"['#2807', '#2838', '#1977', '#3203', '#3674']",9,4,"['mcara', 'lpsinger', 'mdboom', 'astrofrog']"
astropy/astropy#2373,3227,2014-04-26 22:09:40,mcara,0,pr,,,,,"['#2294', '#1977', '#35']",78,6,"['mcara', 'mdboom', 'astrofrog', 'embray', 'lpsinger', 'eteq']"
astropy/astropy#1977,3227,2014-01-20 02:26:02,rmjarvis,3,issue,astrofrog,2014-10-30T13:48:40Z,,close,"['#2294', '#2373', '#2816', 'astropy/photutils#203', '#4761']",28,5,"['rmjarvis', 'astrofrog', 'mdboom', 'lpsinger', 'mcara']"
astropy/pyregion#35,3227,2014-07-06 20:38:38,mcara,0,issue,,,,,[],1,1,['mcara']
,,,,,,,,,,,,,
Homebrew/homebrew-python#139,3194,2014-06-28 19:14:26,tdsmith,1,issue,tdsmith,2015-03-20T16:19:19Z,,close,[],5,1,['tdsmith']
darbula/pymote#15,3125,2015-06-14 09:47:54,sglumac,0,pr,,,,,[],1,2,"['sglumac', 'darbula']"
QInfer/python-qinfer#24,3125,2014-11-17 23:13:20,cgranade,1,pr,cgranade,2014-11-17T23:49:28Z,cc86769,merge,[],3,2,"['cgranade', 'ysanders']"
scikit-learn/scikit-learn#4102,3025,2015-01-15 23:31:33,raghavrv,9,issue,amueller,2015-02-10T16:19:21Z,,close,[],28,6,"['vineetp13', 'amueller', 'raghavrv', 'jnothman', 'tkuboi', 'lesteve']"
scikit-learn/scikit-learn#1968,3025,2013-11-07 22:00:18,juliantaylor,1,issue,arjoly,2014-01-29T18:15:00Z,,close,[],3,3,"['haroldn', 'juliantaylor', 'arjoly']"
mne-tools/mne-python#912,2980,2014-09-30 22:33:08,dengemann,15,issue,Eric89GXL,2015-03-10T01:51:36Z,,close,['#914'],17,5,"['dengemann', 'jdammers', 'agramfort', 'mluessi', 'Eric89GXL']"
swig/swig#92,2944,2013-09-29 21:22:50,cdeil,0,issue,wsfulton,2014-02-16T22:47:23Z,4e9ee78,close,[],2,2,"['cdeil', 'wsfulton']"
ContinuumIO/anaconda-issues#658,2939,2016-02-11 12:47:32,rmcgibbo,5,issue,ilanschnell,2016-02-11T04:38:34Z,,close,[],12,7,"['marscher', 'msarahan', 'ilanschnell', 'rmcgibbo', 'cournape', 'miishke', 'pv']"
ContinuumIO/anaconda-issues#59,2939,2014-01-14 22:08:21,teoliphant,0,issue,ilanschnell,2016-03-03T22:57:30Z,,close,[],7,5,"['teoliphant', 'asmeurer', 'pv', 'ilanschnell', 'lileipku00']"
numpy/numpy#3793,2930,2013-09-25 20:03:51,juliantaylor,0,issue,charris,2013-09-26T22:52:23Z,#3800,close,['#3800'],1,1,['juliantaylor']
,,,,,,,,,,,,,
cureos/jcobyla#1,2891,2015-01-14 18:14:45,stkiese,0,issue,anders9ustafsson,2015-09-14T07:31:33Z,,close,[],13,2,"['stkiese', 'anders9ustafsson']"
xypron/jcobyla#1,2891,2015-01-16 06:35:41,stkiese,0,issue,,,,,[],4,2,"['stkiese', 'xypron']"
numpy/numpy#3768,2890,2013-09-20 15:42:29,charris,0,issue,charris,2014-07-03T22:56:13Z,fc5d7cf,close,['#3816'],19,3,"['charris', 'juliantaylor', 'njsmith']"
numpy/numpy#3796,2890,2013-09-26 02:45:11,charris,0,issue,charris,2013-09-29T00:36:23Z,,close,['#3827'],17,3,"['charris', 'seberg', 'pv']"
numpy/numpy#3491,2890,,,,pr,,,,,['#3170'],5,2,"['jayvius', 'charris']"
numpy/numpy#3761,2890,2013-09-18 15:10:32,jayvius,0,pr,,,,,[],9,2,"['jayvius', 'charris']"
numpy/numpy#3658,2861,,,,pr,,,,,['#3733'],10,3,"['jjhelmus', 'njsmith', 'juliantaylor']"
numpy/numpy#3733,2861,2013-09-13 16:24:07,pkgw,1,issue,juliantaylor,2014-02-03T19:59:34Z,,close,[],4,2,"['pkgw', 'juliantaylor']"
ipython/ipython#4784,2764,2014-01-11 18:44:55,jakevdp,5,issue,twiecki,2014-01-11T18:11:28Z,,close,[],15,5,"['twiecki', 'jakevdp', 'takluyver', 'Carreau', 'olgabot']"
numpy/numpy#3399,2682,,,,issue,charris,2014-02-15T16:25:36Z,,close,"['#3400', '#3445']",12,4,"['WarrenWeckesser', 'juliantaylor', 'njsmith', 'charris']"
statsmodels/statsmodels#1011,2667,2013-07-31 18:15:06,josef-pkt,0,issue,josef-pkt,2013-07-31T21:37:06Z,75b3fba,close,[],1,1,['josef-pkt']
,,,,,,,,,,,,,
scikit-image/scikit-image#1792,2651,2015-12-13 02:47:35,stsievert,23,pr,,,,,[],31,6,"['stsievert', 'MartinSavc', 'stefanv', 'JDWarner', 'jni', 'soupault']"
numpy/numpy#1858,2651,,,,issue,,,,,"['#5954', '#5978']",12,2,"['thouis', 'numpy-gitbot']"
numpy/numpy#5954,2651,2015-06-09 01:57:43,bringingheavendown,0,issue,rgommers,2016-05-28T12:51:02Z,,close,['#5978'],16,5,"['bringingheavendown', 'seberg', 'Eridum', 'njsmith', 'rgommers']"
numpy/numpy#5978,2651,2015-06-17 20:44:12,bringingheavendown,0,pr,,,,,['#5954'],94,13,"['bringingheavendown', 'rgommers', 'homu', 'sturlamolden', 'juliantaylor', 'pv', 'njsmith', 'kemerelab', 'Eridum', 'btel', 'h-mayorquin', 'jaimefrio', 'JLansey']"
scikit-learn/scikit-learn#2148,2636,2013-07-19 04:38:37,NicolasTr,15,pr,,,,,[],72,7,"['NicolasTr', 'glouppe', 'mblondel', 'GaelVaroquaux', 'amueller', 'arjoly', 'agramfort']"
CellProfiler/CellProfiler#662,2573,2013-06-17 16:55:49,LeeKamentsky,3,issue,LeeKamentsky,2013-06-17T14:47:33Z,,close,[],4,2,"['braymp', 'LeeKamentsky']"
scikit-learn/scikit-learn#2431,2547,2013-09-10 15:08:39,joernhees,3,issue,ogrisel,2014-05-13T07:18:00Z,,close,[],6,2,"['joernhees', 'ogrisel']"
scikit-learn/scikit-learn#2472,2547,2013-09-25 09:43:37,ogrisel,3,issue,ogrisel,2014-07-29T09:36:16Z,,close,[],13,4,"['chyikwei', 'ogrisel', 'dengemann', 'amueller']"
